algo,seed,modularity,n_communities,runtime_s
Louvain,42,0.807532805970049,70,2.2545902729034424
Louvain,43,0.8067777741669365,73,2.775391101837158
Louvain,44,0.7910448624582196,71,2.4966695308685303
Louvain,45,0.8059059323795943,68,2.004268169403076
Louvain,46,0.8068314071847528,74,2.418423652648926
Louvain,47,0.8016146220202982,70,2.228942632675171
Louvain,48,0.7998359658551168,74,2.3976283073425293
Louvain,49,0.8064283100553686,73,2.9110443592071533
Louvain,50,0.803526531247764,74,2.1047167778015137
Louvain,51,0.8057830599690258,71,2.64936900138855
Leiden,42,0.805627871681589,81,1.4722645282745361
Leiden,43,0.8112038785158502,74,1.5470936298370361
Leiden,44,0.8099264083568017,72,1.482280969619751
Leiden,45,0.8096907543838434,75,1.5214126110076904
Leiden,46,0.8105208103944886,76,1.57366943359375
Leiden,47,0.810579489530994,75,1.524970531463623
Leiden,48,0.8105008461429147,74,1.5063517093658447
Leiden,49,0.8103561631484782,75,1.4899578094482422
Leiden,50,0.8107833161822786,76,1.463526725769043
Leiden,51,0.8105804221626156,77,1.4807660579681396
